district_id,district_name,state,care_need,planning_priority_score,risk_score,supply_score,evidence_score,data_quality_score,relevant_claims,strong_claims,partial_claims,pincode_inferred_claims,city_fallback_claims,uncertainty_label,explanation,updated_at
district:33c1e633a6dc2d5763f3c92a0606b8b952afea333a06dddc39dad92ee5ec46f2,West Khasi Hills,Meghalaya,maternal_emergency,72.0,56.4,0.0,0.0,80.0,0,0,0,0,0,missing,"High planning priority: health-risk signal is 56.4/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:edc4a0edc6211f9702826b452b10feee04955e2f5ae451825c7e673a29958169,South West Khasi Hills,Meghalaya,maternal_emergency,71.9,56.2,0.0,0.0,80.0,0,0,0,0,0,missing,"High planning priority: health-risk signal is 56.2/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:dc3e596003b20d7fc204eeced54d71c4b598cd75debd36f129c1a62cccfc767e,Pakur,Jharkhand,maternal_emergency,71.5,55.5,0.0,0.0,80.0,0,0,0,0,0,missing,"High planning priority: health-risk signal is 55.5/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:3ea46709a607ababc33327f36d9d858fcd3f2abd687024200709606f03c5088c,Pashchimi Singhbhum,Jharkhand,maternal_emergency,71.3,55.1,0.0,0.0,80.0,0,0,0,0,0,missing,"High planning priority: health-risk signal is 55.1/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:471d1577d957a9e7cd1bd6726df08d617c285b160f07a984c47ff5722e53b0a3,West Jaintia Hills,Meghalaya,maternal_emergency,70.8,54.1,0.0,0.0,80.0,0,0,0,0,0,missing,"High planning priority: health-risk signal is 54.1/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:69eda4346ea96b44e6ad69cf4134c14df11376ab3db754f1d3add966c2e24a61,Bijapur,Chhattisgarh,maternal_emergency,70.8,54.1,0.0,0.0,80.0,0,0,0,0,0,missing,"High planning priority: health-risk signal is 54.1/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:ad9d48c5ea04d42c7b44be4303a68578a3bdabe6056a10403998fa50d1dee8a4,Bastar,Chhattisgarh,maternal_emergency,70.7,53.9,0.0,0.0,80.0,0,0,0,0,0,missing,"High planning priority: health-risk signal is 53.9/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:4cee09dddfbfe25fbcfcf1d57a38293600a037f3d8f2df376cd5402bd00d2544,Sahibganj,Jharkhand,maternal_emergency,69.6,52.0,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 52.0/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:6c1509b2c268dde8511238a4aaab23d9ea43b7d44a338a7a27840bae50c93136,Sitamarhi,Bihar,maternal_emergency,68.8,50.5,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 50.5/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:88ab0dde68d6c48c1e9d66372d68203f78360411d0cf9f8192d36a1cd93cf4fe,Araria,Bihar,maternal_emergency,68.8,50.5,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 50.5/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:57b2b5f8b1209d45ee19ce46ad15760fdc8de9d8a36ec4f9bfc245efd183f001,Dumka,Jharkhand,maternal_emergency,68.7,50.4,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 50.4/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:0e926db855e2a88952036c096db19ec63f3726394085c3503ec0f91fccf0598e,Kishanganj,Bihar,maternal_emergency,68.4,49.8,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 49.8/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:aba0484de460fb13ae269958bf072e819851220e85a5f6b345eae6acd913ad64,Ribhoi,Meghalaya,maternal_emergency,68.1,49.3,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 49.3/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:0662370ea5deaf4103c87e08296c27fd4a99b89fba4f6de5e11c05ad6685f90f,Dhubri,Assam,maternal_emergency,68.0,49.2,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 49.2/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:79279d5d9eaa971b2b545e24ddaac0cb085d2182a80b90e5f6f31eb4449ec64d,Katihar,Bihar,maternal_emergency,67.7,48.5,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 48.5/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:1de443778eacc243618db4c3721632c1b83b2aac73ac960195dd4cb7e05ad32e,East Jantia Hills,Meghalaya,maternal_emergency,67.6,48.4,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 48.4/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
district:4251deb161dee101d1e7265d4017bc953adb11cb4d81fde0feb2c98283228d88,Purba Champaran,Bihar,maternal_emergency,67.6,48.3,0.0,0.0,80.0,0,0,0,0,0,missing,"Medium planning priority: health-risk signal is 48.3/100, claimed supply signal is 0.0/100, and evidence strength is 0.0/100. No relevant facility claims were found for this care need. Overall evidence label is missing; review cited facility text before making an intervention decision.",2026-06-15T22:19:20.911033+00:00
